,type,id,brand,name,rating,volume,price,tag_good,tag_bad,ingredient_count,caution,allergy,efficacy,oily_skin,dry_skin,sensitive_skin
12,스킨/토너,2018734,비플레인,시카테롤 토너,4.74,200ml,"24,000","진정되는(697), 수분있는(398), 자극없는(356), 흡수되는(231), 보습되는(224), 가벼운(107), 향에만족한(102)","유분있는(45), 흘러내리는(22), 인공향나는(13), 미끌거리는(10), 가려운(7), 마르는(6), 유수분밸런스좋지않은(6)",5,0,0,피부 보습(3),"Good(0), Bad(0)","Good(0), Bad(0)","Good(0), Bad(0)"
13,스킨/토너,2017648,딕셔니스트,아미노산 토너,4.61,250ml,"30,000","수분있는(769), 보습되는(554), 흡수되는(520), 피부결좋아지는(475), 자극없는(459), 끈적하지않은(282), 각질제거되는(273)","인공향나는(19), 알콜냄새나는(14), 마르는(6), 때처럼나오는(5), 유수분밸런스좋지않은(5), 향지속되지않는(2), 알갱이있는(1)",19,0,0,"피부 보습(11), 피부 보호(2), 수렴 진정(1), 수분 증발 차단(1), 각질 제거(1)","Good(1), Bad(0)","Good(2), Bad(0)","Good(0), Bad(2)"
14,스킨/토너,1906940,편강율,진정 수분강화 토너,4.48,150ml,"14,000","수분있는(1,340), 자극없는(1,074), 보습되는(928), 흡수되는(808), 진정되는(732), 가벼운(629), 향에만족한(582)","모공관리안되는(305), 흘러내리는(240), 인공향나는(22), 유수분밸런스좋지않은(14), 마르는(11), 쿨링안되는(10), 뻣뻣한(6)",31,0,0,"피부 보습(21), 피부 보호(4), 피부 미백(1)","Good(0), Bad(0)","Good(4), Bad(0)","Good(0), Bad(1)"
15,스킨/토너,1931642,랩클,펩타이드 크림 스킨 모이스처라이징 토너,4.64,150ml,"35,000","보습되는(386), 수분있는(299), 흡수되는(234), 향에만족한(214), 끈적하지않은(120), 자극없는(105), 속건조해결되는(94)","인공향나는(17), 향지속되지않는(6), 뽀송하지않은(1), 쿨링안되는(1), 유수분밸런스좋지않은(1), 눈통증있는(1), 마르는(1)",37,0,0,"피부 보습(27), 피부 보호(4), 피부 미백(2), 주름 개선(1), 수분 증발 차단(1), 여드름 완화(1)","Good(1), Bad(0)","Good(5), Bad(0)","Good(1), Bad(0)"
16,스킨/토너,1803575,싸이닉,더 심플 카밍 토너,4.40,145ml,"18,000","자극없는(5,290), 수분있는(2,608), 가벼운(1,725), 흡수되는(1,666), 보습되는(1,399), 끈적하지않은(766), 진정되는(725)","흘러내리는(369), 눈통증있는(140), 가려운(89), 마르는(48), 겉도는(34), 지속안되는(29), 인공향나는(27)",13,0,0,"피부 보습(10), 피부 보호(2), 주름 개선(1)","Good(0), Bad(0)","Good(3), Bad(0)","Good(1), Bad(0)"
17,스킨/토너,1991488,시드물,오리지널 웰빙 녹차스킨,4.27,150ml,"4,300","자극없는(5,018), 수분있는(2,970), 보습되는(1,600), 가벼운(1,464), 향에만족한(1,296), 흡수되는(1,059), 진정되는(981)","유분있는(373), 가려운(102), 흘러내리는(83), 답답한(83), 마르는(62), 미끌거리는(59), 겉도는(53)",22,0,0,"피부 보습(16), 피부 보호(3), 피부 미백(2), 주름 개선(1)","Good(2), Bad(0)","Good(4), Bad(0)","Good(3), Bad(1)"
18,스킨/토너,2018120,라네즈,크림 스킨 세라펩타이드™ 리파이너,4.60,170ml,"33,000","보습되는(511), 수분있는(295), 속건조해결되는(190), 흡수되는(104), 자극없는(47), 끈적하지않은(39), 가벼운(36)","유분있는(125), 흘러내리는(23), 답답한(17), 유수분밸런스좋지않은(10), 눈통증있는(8), 밀림있는(8), 미끌거리는(7)",26,0,0,"피부 보습(14), 피부 보호(5), 피부 미백(3), 주름 개선(1)","Good(0), Bad(0)","Good(3), Bad(0)","Good(0), Bad(0)"
19,스킨/토너,1762277,바이오더마,하이드라비오 에센스 로션,4.28,200ml,"35,000","수분있는(1,104), 보습되는(737), 흡수되는(409), 속건조해결되는(392), 쫀득한(258), 향에만족한(185), 자극없는(168)","뒤집어지는(63), 인공향나는(61), 흘러내리는(46), 가려운(40), 따가운(38), 마르는(36), 미끌거리는(27)",22,2,0,"피부 보습(10), 피부 보호(2), 피부 미백(1), 수렴 진정(1), 수분 증발 차단(1), 각질 제거(1)","Good(1), Bad(0)","Good(2), Bad(0)","Good(0), Bad(1)"
20,스킨/토너,2017948,넘버즈인,1번 진정 맑게담은 청초토너,4.62,300ml,"26,000","진정되는(316), 수분있는(286), 자극없는(237), 흡수되는(213), 보습되는(143), 가벼운(105), 산뜻한(86)","따가운(21), 흘러내리는(21), 눈통증있는(11), 가려운(7), 마르는(5), 유수분밸런스좋지않은(5), 쿨링안되는(4)",19,0,0,"피부 보습(14), 피부 보호(2), 주름 개선(2)","Good(2), Bad(0)","Good(3), Bad(0)","Good(1), Bad(0)"
21,스킨/토너,2024449,"디어,클레어스",서플 프레퍼레이션 언센티드 토너,4.69,180ml,"19,900","수분있는(405), 보습되는(288), 자극없는(208), 흡수되는(190), 끈적하지않은(107), 향에만족한(80), 속건조해결되는(79)","인공향나는(5), 알콜냄새나는(2), 눈통증있는(1), 때처럼나오는(1), 유수분밸런스좋지않은(1), 향지속되지않는(1)",33,0,0,"피부 보습(21), 피부 보호(3), 피부 미백(1)","Good(1), Bad(0)","Good(4), Bad(0)","Good(1), Bad(0)"
22,스킨/토너,2017978,마녀공장,판테토인 에센스 토너,4.64,200ml,"32,000","보습되는(255), 수분있는(178), 흡수되는(94), 속건조해결되는(73), 자극없는(60), 끈적하지않은(55), 흘러내리지않는(39)","유분있는(18), 따가운(14), 잔여물남는(2), 마르는(2), 눈통증있는(1), 유수분밸런스좋지않은(1)",40,0,0,"피부 보습(19), 피부 보호(7), 피부 미백(5), 주름 개선(1), 수렴 진정(1)","Good(1), Bad(0)","Good(3), Bad(0)","Good(1), Bad(0)"
23,스킨/토너,1999682,카이네,콤부 밸런싱 앰플 토너,4.81,150ml,"24,000","수분있는(102), 보습되는(90), 흡수되는(56), 자극없는(45), 향에만족한(39), 끈적하지않은(36), 가벼운(35)","가려운(3), 에센스많은(2), 마르는(1), 눈통증있는(1)",33,0,0,"피부 보습(27), 피부 보호(2), 피부 미백(1), 수렴 진정(1)","Good(1), Bad(0)","Good(5), Bad(0)","Good(1), Bad(0)"
24,스킨/토너,1885964,원씽,어성초 추출물 토너,4.49,150ml,"12,000","진정되는(1,459), 향에만족한(661), 자극없는(611), 수분있는(437), 흡수되는(366), 가벼운(208), 뒤집어지지않는(174)","보습안되는(353), 흘러내리는(335), 따가운(95), 눈통증있는(69), 인공향나는(33), 향지속되지않는(15), 마르는(15)",3,0,0,피부 보습(2),"Good(0), Bad(0)","Good(1), Bad(0)","Good(0), Bad(0)"
25,스킨/토너,1984574,피캄,베리어사이클 토너,4.53,200ml,"34,000","자극없는(348), 수분있는(268), 진정되는(161), 흡수되는(125), 보습되는(108), 가벼운(91), 산뜻한(66)","따가운(35), 흘러내리는(28), 눈통증있는(10), 겉도는(6), 가려운(5), 마르는(4), 답답한(2)",32,0,0,"피부 보습(26), 피부 보호(3), 피부 미백(1), 주름 개선(1), 수분 증발 차단(1), 여드름 완화(1)","Good(2), Bad(0)","Good(3), Bad(0)","Good(1), Bad(0)"
26,스킨/토너,2059964,웰라쥬,리얼 히알루로닉 100 토너,4.71,200ml,"20,000","수분있는(315), 보습되는(255), 흡수되는(186), 자극없는(140), 속건조해결되는(138), 가벼운(113), 끈적하지않은(95)","흘러내리는(29), 눈통증있는(6), 지속안되는(5), 인공향나는(4), 모공관리안되는(3), 유수분밸런스좋지않은(2), 알콜냄새나는(2)",34,0,0,"피부 보습(25), 피부 미백(2), 피부 보호(2)","Good(0), Bad(0)","Good(5), Bad(0)","Good(0), Bad(1)"
27,스킨/토너,1895356,아비브,어성초 카밍 토너 스킨 부스터,4.51,200ml,"23,000","자극없는(234), 수분있는(220), 진정되는(210), 보습되는(146), 흡수되는(133), 향에만족한(91), 가벼운(84)","흘러내리는(6), 각질제거안되는(5), 인공향나는(2), 잔여물남는(2), 겉도는(2), 마르는(2), 유수분밸런스좋지않은(1)",23,0,0,"피부 보습(20), 피부 미백(1), 피부 보호(1)","Good(0), Bad(0)","Good(5), Bad(0)","Good(0), Bad(0)"
28,스킨/토너,4900,바이오더마,하이드라비오 토너,4.32,250ml,"29,000","수분있는(730), 보습되는(422), 자극없는(306), 흡수되는(176), 속건조해결되는(171), 향에만족한(145), 가벼운(103)","흘러내리는(45), 인공향나는(32), 가려운(29), 냄새지독한(20), 미끌거리는(13), 마르는(8), 밀림있는(5)",18,1,0,"피부 보습(9), 피부 보호(4), 피부 미백(1), 수분 증발 차단(1)","Good(1), Bad(0)","Good(2), Bad(0)","Good(1), Bad(1)"
29,스킨/토너,1830930,원씽,병풀 추출물 토너,4.49,150ml,"12,000","진정되는(1,140), 자극없는(430), 수분있는(260), 흡수되는(238), 가벼운(125), 뒤집어지지않는(111), 피부결좋아지는(80)","향이아쉬운(442), 보습안되는(234), 흘러내리는(200), 따가운(78), 눈통증있는(47), 가려운(30), 인공향나는(20)",3,0,0,피부 보습(2),"Good(0), Bad(0)","Good(1), Bad(0)","Good(0), Bad(0)"
30,스킨/토너,2027111,블랙글로우,핑크 에센스 스킨,4.66,300ml,"23,900","수분있는(483), 보습되는(225), 자극없는(216), 흡수되는(159), 끈적하지않은(107), 가벼운(107), 향에만족한(75)","흘러내리는(40), 인공향나는(14), 알콜냄새나는(10), 눈통증있는(8), 미끌거리는(6), 마르는(4), 각질제거안되는(2)",32,0,0,"피부 보습(29), 피부 보호(2), 수분 증발 차단(1), 여드름 완화(1)","Good(1), Bad(0)","Good(3), Bad(0)","Good(1), Bad(0)"
31,스킨/토너,1830063,닥터지,레드 블레미쉬 클리어 수딩 토너,4.35,200ml,"23,000","수분있는(497), 자극없는(420), 진정되는(278), 보습되는(268), 흡수되는(218), 가벼운(169), 끈적하지않은(126)","따가운(53), 흘러내리는(47), 가려운(20), 눈통증있는(17), 겉도는(13), 마르는(8), 지속안되는(6)",30,0,0,"피부 보습(22), 피부 보호(4), 피부 미백(1), 수렴 진정(1), 수분 증발 차단(1)","Good(0), Bad(0)","Good(3), Bad(0)","Good(1), Bad(0)"
32,스킨/토너,2022236,넘버즈인,3번 결광가득 에센스 토너,4.39,200ml,"24,000","수분있는(115), 보습되는(107), 윤기나는(73), 피부결좋아지는(55), 흡수되는(43), 향에만족한(40), 쫀득한(34)","유분있는(29), 따가운(23), 흘러내리는(7), 가려운(7), 답답한(6), 뒤집어지는(5), 미끌거리는(5)",71,0,2,"피부 보습(48), 피부 보호(5), 수분 증발 차단(1), 여드름 완화(1)","Good(0), Bad(0)","Good(3), Bad(0)","Good(0), Bad(0)"
33,스킨/토너,2086848,코스노리,판테놀 베리어 토너,4.77,205ml / 6.93 fl. oz.,"22,000","수분있는(91), 보습되는(76), 흡수되는(45), 가벼운(35), 자극없는(30), 속건조해결되는(24), 끈적하지않은(21)","유분있는(8), 흘러내리는(6), 눈통증있는(4), 모공관리안되는(1)",41,0,0,"피부 보습(32), 피부 미백(2), 피부 보호(2), 수분 증발 차단(1), 여드름 완화(1)","Good(0), Bad(0)","Good(5), Bad(0)","Good(0), Bad(1)"
34,스킨/토너,1922620,에뛰드,순정 약산성 5.5 진정 토너,4.29,350ml,"27,000","자극없는(6,032), 수분있는(2,562), 보습되는(1,482), 진정되는(1,159), 가벼운(999), 흡수되는(975), 약산성인(856)","유분있는(597), 흘러내리는(305), 미끌거리는(213), 답답한(117), 겉도는(113), 가려운(90), 눈통증있는(48)",15,0,0,"피부 보습(11), 피부 보호(3), 피부 미백(1), 주름 개선(1)","Good(0), Bad(0)","Good(4), Bad(0)","Good(0), Bad(0)"
35,스킨/토너,1855412,다자연,어성초 케어 토너,4.59,200ml,"27,000","자극없는(445), 진정되는(433), 수분있는(423), 향에만족한(277), 흡수되는(245), 보습되는(216), 산뜻한(119)","흘러내리는(53), 가려운(11), 눈통증있는(8), 미끌거리는(8), 지속안되는(6), 잔여물남는(5), 마르는(4)",19,0,0,"피부 보습(14), 피부 보호(4), 주름 개선(1)","Good(1), Bad(0)","Good(3), Bad(0)","Good(1), Bad(0)"
36,스킨/토너,2021058,파티온,노스카나인 트러블 클리어 토너,4.58,200ml,"23,000","자극없는(165), 보습되는(156), 수분있는(147), 흡수되는(138), 가벼운(107), 각질제거되는(91), 진정되는(91)","따가운(43), 흘러내리는(16), 인공향나는(13), 눈통증있는(10), 알콜냄새나는(6), 쿨링안되는(3), 가려운(2)",35,0,0,"피부 보습(24), 피부 보호(3), 피부 미백(1)","Good(1), Bad(0)","Good(4), Bad(0)","Good(1), Bad(0)"
37,스킨/토너,2082662,다자연,블루 아가베 포어 에센스 토너,4.69,200ml,"24,000","수분있는(236), 흡수되는(105), 보습되는(99), 자극없는(91), 끈적하지않은(54), 잘발리는(32), 가벼운(28)","모공관리안되는(56), 답답한(6), 따가운(5), 마르는(3), 쿨링안되는(2), 잔여물남는(2), 유수분밸런스좋지않은(1)",48,0,0,"피부 보습(38), 피부 미백(3), 피부 보호(3), 주름 개선(2), 수분 증발 차단(1), 여드름 완화(1)","Good(0), Bad(0)","Good(4), Bad(0)","Good(0), Bad(0)"
38,스킨/토너,2072411,바이오던스,스킨 리파이닝 마일드 파하토너,4.58,150ml,"24,000","각질제거되는(84), 자극없는(77), 수분있는(69), 보습되는(55), 흡수되는(38), 피부결좋아지는(33), 가벼운(24)","향이아쉬운(28), 끈적한(21), 인공향나는(7), 흘러내리는(7), 잔여물남는(3), 눈통증있는(3), 답답한(3)",40,0,0,피부 보습(33),"Good(0), Bad(1)","Good(4), Bad(0)","Good(0), Bad(0)"
39,스킨/토너,1817579,라운드랩,자작나무 수분 토너,4.50,300ml,"24,000","수분있는(1,067), 자극없는(547), 보습되는(478), 흡수되는(320), 끈적하지않은(159), 가벼운(130), 속건조해결되는(116)","흘러내리는(52), 미끌거리는(50), 유분있는(48), 겉도는(19), 답답한(16), 리치한(10), 가려운(8)",21,0,0,"피부 보습(15), 피부 보호(2), 수렴 진정(1)","Good(0), Bad(0)","Good(5), Bad(0)","Good(0), Bad(0)"
40,스킨/토너,1835492,토리든,다이브인 저분자 히알루론산 스킨부스터,4.62,200ml,"18,000","수분있는(960), 보습되는(660), 흡수되는(442), 자극없는(384), 속건조해결되는(196), 끈적하지않은(174), 잘발리는(151)","겉도는(22), 유수분밸런스좋지않은(11), 미끌거리는(11), 답답한(9), 각질제거안되는(8), 인공향나는(8), 모공관리안되는(6)",31,0,0,"피부 보습(22), 피부 미백(2), 피부 보호(2), 주름 개선(1)","Good(1), Bad(0)","Good(5), Bad(0)","Good(2), Bad(0)"
41,스킨/토너,1826986,비플레인,캐모마일 약산성 토너,4.50,200ml,"26,000","자극없는(2,443), 수분있는(1,961), 보습되는(1,191), 흡수되는(818), 약산성인(697), 향에만족한(680), 진정되는(654)","유분있는(422), 흘러내리는(97), 미끌거리는(92), 답답한(55), 겉도는(48), 눈통증있는(44), 유수분밸런스좋지않은(23)",22,0,0,"피부 보습(16), 피부 미백(2), 피부 보호(2), 주름 개선(1)","Good(2), Bad(0)","Good(4), Bad(1)","Good(2), Bad(1)"
42,스킨/토너,1942618,마몽드,로즈워터 토너,4.51,250ml,"18,000","향에만족한(291), 수분있는(192), 자극없는(121), 보습되는(104), 흡수되는(80), 가벼운(67), 진정되는(45)","인공향나는(18), 흘러내리는(13), 따가운(8), 눈통증있는(4), 마르는(4), 가려운(3), 쫀득하지않은(2)",17,0,0,"피부 보습(9), 피부 보호(1), 주름 개선(1)","Good(1), Bad(0)","Good(2), Bad(0)","Good(1), Bad(0)"
43,스킨/토너,1907526,리더스코스메틱,카밍 바이오틱스 에센스 워터,4.53,150ml,"25,000","수분있는(349), 보습되는(332), 흡수되는(305), 자극없는(183), 끈적하지않은(131), 잘발리는(119), 진정되는(96)","향이아쉬운(198), 인공향나는(82), 냄새지독한(46), 가려운(11), 각질제거안되는(5), 유수분밸런스좋지않은(5), 알콜냄새나는(2)",37,0,0,"피부 보습(21), 피부 보호(6), 피부 미백(3), 여드름 완화(1)","Good(0), Bad(0)","Good(3), Bad(0)","Good(0), Bad(2)"
44,스킨/토너,1983529,휘게,오운 비건 카밍 토너,4.68,250ml,"22,000","자극없는(337), 수분있는(257), 진정되는(146), 흡수되는(136), 보습되는(114), 향에만족한(85), 가벼운(71)","흘러내리는(32), 눈통증있는(9), 유분있는(9), 마르는(6), 답답한(4), 유수분밸런스좋지않은(3), 인공향나는(2)",35,0,0,"피부 보습(32), 피부 보호(4)","Good(1), Bad(0)","Good(4), Bad(0)","Good(1), Bad(0)"
45,스킨/토너,2011162,채비공간,비건토너 [병풀추출물],4.62,150ml,"10,900","진정되는(203), 자극없는(129), 수분있는(65), 보습되는(65), 향에만족한(64), 흡수되는(58), 가벼운(36)","흘러내리는(38), 따가운(14), 눈통증있는(9), 인공향나는(6), 유수분밸런스좋지않은(3), 마르는(3), 알콜냄새나는(2)",1,0,0,피부 보습(1),"Good(0), Bad(0)","Good(0), Bad(0)","Good(0), Bad(0)"
46,스킨/토너,2082961,풀리,그린 토마토 토너,4.54,250ml,"25,000","흡수되는(33), 산뜻한(33), 끈적하지않은(32), 자극없는(30), 가벼운(29), 수분있는(26), 향에만족한(17)","모공관리안되는(31), 보습안되는(11), 흘러내리는(5), 겉도는(2), 미끌거리지않는(1), 가려운(1), 쫀득하지않은(1)",4,0,0,피부 보습(1),"Good(0), Bad(0)","Good(1), Bad(0)","Good(0), Bad(0)"
47,스킨/토너,2018693,에스트라,에이시카 365 수분 진정 결 토너,4.49,250ml,"30,000","수분있는(113), 자극없는(91), 보습되는(72), 진정되는(54), 피부결좋아지는(48), 흡수되는(46), 가벼운(32)","유분있는(21), 흘러내리는(13), 인공향나는(5), 알콜냄새나는(4), 유수분밸런스좋지않은(3), 미끌거리는(3), 눈통증있는(2)",17,0,0,"피부 보습(12), 피부 미백(2), 피부 보호(2)","Good(0), Bad(0)","Good(4), Bad(0)","Good(0), Bad(0)"
48,스킨/토너,1847242,이즈앤트리,히아루론산 토너,4.13,200ml,"16,000","수분있는(5,405), 보습되는(3,024), 자극없는(2,544), 흡수되는(1,863), 쫀득한(1,060), 속건조해결되는(852), 잘발리는(657)","끈적한(984), 미끌거리는(754), 밀림있는(576), 겉도는(387), 마르는(112), 답답한(110), 가려운(108)",20,0,0,"피부 보습(16), 피부 보호(3)","Good(0), Bad(0)","Good(5), Bad(0)","Good(1), Bad(0)"
49,스킨/토너,1850134,코스알엑스,아하/바하 클래리파잉 토너 미스트,4.31,150ml,"12,600","각질제거되는(1,173), 자극없는(1,061), 피부결좋아지는(380), 매끄러운(243), 흡수되는(229), 가벼운(187), 수분있는(187)","보습안되는(350), 따가운(168), 눈통증있는(41), 인공향나는(40), 흘러내리는(33), 알콜냄새나는(29), 가려운(19)",11,0,0,"피부 보습(4), 피부 보호(1), 수렴 진정(1)","Good(2), Bad(0)","Good(2), Bad(0)","Good(1), Bad(1)"
50,스킨/토너,1995842,아이레시피,아쿠아 피토플렉스 크림 인 토너,4.65,120ml,"20,000","보습되는(389), 수분있는(382), 흡수되는(179), 자극없는(169), 끈적하지않은(97), 속건조해결되는(81), 가벼운(79)","유분있는(61), 흘러내리는(48), 답답한(16), 인공향나는(11), 유수분밸런스좋지않은(6), 눈통증있는(3), 뻣뻣한(3)",19,0,0,"피부 보습(11), 피부 미백(6), 피부 보호(3)","Good(1), Bad(0)","Good(2), Bad(0)","Good(1), Bad(1)"
51,스킨/토너,1853260,키엘,칼렌듈라 허벌 엑스트렉트 토너,4.18,125ml,"25,000","진정되는(1,412), 자극없는(1,378), 수분있는(1,051), 향에만족한(948), 보습되는(537), 흡수되는(439), 피부결좋아지는(240)","따가운(139), 흘러내리는(62), 알갱이있는(31), 가려운(27), 인공향나는(14), 마르는(12), 눈통증있는(8)",16,1,0,"피부 보습(9), 피부 보호(2), 수렴 진정(1)","Good(1), Bad(0)","Good(2), Bad(0)","Good(1), Bad(1)"
52,스킨/토너,1898969,수이스킨,어린 새싹 클린 토너,4.54,200ml,"20,000","자극없는(1,078), 수분있는(743), 흡수되는(435), 보습되는(412), 가벼운(312), 산뜻한(264), 향에만족한(232)","흘러내리는(70), 인공향나는(23), 알콜냄새나는(21), 마르는(12), 가려운(10), 지속안되는(7), 유수분밸런스좋지않은(6)",21,0,0,"피부 보습(13), 피부 보호(3), 주름 개선(1)","Good(0), Bad(0)","Good(3), Bad(0)","Good(0), Bad(1)"
53,스킨/토너,1999650,라보드레,레이어링 에센셜 워터,4.65,200g,"22,000","수분있는(169), 보습되는(124), 자극없는(78), 흡수되는(57), 가벼운(45), 끈적하지않은(39), 속건조해결되는(29)","흘러내리는(27), 따가운(6), 눈통증있는(4), 인공향나는(4), 가려운(3), 리치하지않은(2), 각질제거안되는(2)",10,0,0,"피부 보습(8), 피부 보호(1)","Good(0), Bad(0)","Good(2), Bad(0)","Good(0), Bad(0)"
54,스킨/토너,1897655,하다라보,고쿠쥰 로션,4.38,170ml,"17,000","수분있는(343), 보습되는(258), 쫀득한(160), 흡수되는(119), 자극없는(108), 잘발리는(72), 속건조해결되는(57)","끈적한(116), 미끌거리는(63), 유분있는(48), 흘러내리는(30), 겉도는(19), 밀림있는(14), 마르는(12)",16,0,0,"피부 보습(9), 피부 보호(1)","Good(0), Bad(0)","Good(3), Bad(0)","Good(0), Bad(0)"
